playerId,name,position,gp,goals,assists,points
8473539,Carl Sneep,D,1,0,1,1
8473464,Igor Makarov,R,0,0,0,0
8473607,Michal Neuvirth,G,257,0,4,0
8473447,Francois Bouchard,R,0,0,0,0
8473465,Jamie McGinn,L,617,117,103,220
8473556,Yury Alexandrov,D,0,0,0,0
8473425,Bryce Swan,R,0,0,0,0
8473568,Andreas Nodl,R,183,15,21,36
8473522,Ondrej Fiala,C,0,0,0,0
8473558,Cory Emmerton,C,139,12,9,21
8473450,Michael Ratchuk,D,0,0,0,0
8473417,Riley Holzapfel,C,0,0,0,0
8473579,Nikolay Kulemin,L,669,121,153,274
8473507,Jeff Petry,D,1048,96,298,394
8473523,Jhonas Enroth,G,153,0,0,0
8473574,Shawn Matthias,L,551,90,84,174
8473476,Joe Ryan,D,0,0,0,0
8473493,Ben Maxwell,C,47,2,6,8
8473473,Milan Lucic,L,1177,233,353,586
8473586,Nigel Williams,D,0,0,0,0
8473413,Keith Seabrook,D,0,0,0,0
8473438,Mathieu Carle,D,3,0,0,0
8473573,Artem Anisimov,C,771,180,196,376
8473495,Denis Bodrov,D,0,0,0,0
8473608,Blake Geoffrion,C,55,8,5,13
8473426,Mike Weber,D,351,9,44,53
8473605,Alexander Vasyunov,L,18,1,4,5
8473467,Codey Burki,C,0,0,0,0
8473514,Jesse Joensuu,L,129,13,11,24
8473602,Simon Danis-Pepin,D,0,0,0,0
8473478,Dick Axelsson,L,0,0,0,0
8473571,Jamie McBain,D,348,30,80,110
8473510,Jonas Junland,D,4,0,2,2
8473565,Brian Strait,D,187,6,23,29
8473466,Ryan White,C,313,31,30,61
8473524,Kirill Tulupov,D,0,0,0,0
8473468,Eric Gryba,D,289,7,36,43
8473461,Steve Mason,G,476,0,12,0
8473581,Robin Figren,L,0,0,0,0
8473419,Brad Marchand,L,1152,451,583,1034
8473504,Cal Clutterbuck,R,1064,143,150,293
8473424,Brady Calla,R,0,0,0,0
8473553,Jeff Zatkoff,G,48,0,1,0
8473525,Theo Peckham,D,160,4,13,17
8473591,Tony Lagerstrom,C,0,0,0,0
8473592,Vladimir Zharkov,R,82,2,12,14
8473433,Kevin Quick,D,6,0,1,1
8473444,Jon Matsumoto,C,14,2,0,2
8473458,Michael Forney,L,0,0,0,0
8473443,Mike Carman,C,0,0,0,0
8473540,Daniel Rahimi,D,0,0,0,0
8473430,John De Gray,D,0,0,0,0
8473518,Ryan Hillier,L,0,0,0,0
8473542,Tom Sestito,L,154,10,11,21
8473431,Bud Holloway,C,1,0,0,0
8473530,John Armstrong,C,0,0,0,0
8473515,Jonas Ahnelov,D,0,0,0,0
8473429,Aaron Marvin,C,0,0,0,0
8473411,Aaron Snow,L,0,0,0,0
8473484,Kaspars Daugavins,L,91,6,9,15
8473471,Daniel Larsson,G,0,0,0,0
8473477,Harrison Reed,R,0,0,0,0
8473427,Ryan Turek,C,0,0,0,0
8473462,Ben Shutron,D,0,0,0,0
8473435,Joe Palmer,G,0,0,0,0
8473496,Oskar Osala,L,3,0,0,0
