draftYear,overall,round,pickInRound,playerId,name,position,team,teamId,country,name_c,position_c,gp,goals,assists,points,is_goalie,franchise,bin,exp_gp,exp_pts,surplus_gp,surplus_pts
2005,79,3,18,8471742,Cody Franson,D,NSH,18,CAN,Cody Franson,D,550,43.0,169.0,212,False,NSH,"(65, 80]",102.13119023902618,44.24478501973033,447.8688097609738,167.75521498026967
2005,80,3,19,8471744,Christofer Lofberg,C,DET,17,SWE,Christofer Lofberg,C,0,0.0,0.0,0,False,DET,"(65, 80]",101.23637194124682,44.13083780982339,-101.23637194124682,-44.13083780982339
2005,81,3,20,8470996,Danny Syvret,D,EDM,22,CAN,Danny Syvret,D,59,3.0,4.0,7,False,EDM,"(80, 100]",100.38264038172775,44.02504397005559,-41.382640381727754,-37.02504397005559
2005,82,3,21,8471746,Phil Oreskovic,D,TOR,10,CAN,Phil Oreskovic,D,10,1.0,1.0,2,False,TOR,"(80, 100]",99.56810900979711,43.92682009478953,-89.56810900979711,-41.92682009478953
2005,83,3,22,8471747,Mikko Lehtonen,RW,BOS,6,FIN,Mikko Lehtonen,R,2,0.0,0.0,0,False,BOS,"(80, 100]",98.79097789819461,43.835624523351164,-96.79097789819461,-43.835624523351164
2005,84,3,23,8471748,Mark Fraser,D,NJD,1,CAN,Mark Fraser,D,219,4.0,18.0,22,False,NJD,"(80, 100]",98.0495297656456,43.750954353013846,120.9504702343544,-21.750954353013846
2005,85,3,24,8471750,Ben Bishop,G,STL,19,USA,Ben Bishop,G,413,0.0,12.0,0,True,STL,"(80, 100]",97.34212618206395,43.672342665715014,315.65787381793604,
2005,86,3,25,8471751,Robby Dee,F,EDM,22,USA,Robby Dee,C,0,0.0,0.0,0,False,EDM,"(80, 100]",96.66720394799776,43.59935595321225,-96.66720394799776,-43.59935595321225
2005,87,3,26,8471752,Marc-Andre Gragnani,D,BUF,7,CAN,Marc-Andre Gragnani,D,78,3.0,15.0,18,False,BUF,"(80, 100]",96.02327164031772,43.53159172647953,-18.023271640317716,-25.531591726479533
2005,88,3,27,8471753,T.J. Hensick,C,COL,21,USA,T.J. Hensick,C,112,12.0,26.0,38,False,COL,"(80, 100]",95.40890631651433,43.468676296160474,16.591093683485667,-5.468676296160474
2005,89,3,28,8471754,Chris Lawrence,C,TBL,14,CAN,Chris Lawrence,R,0,0.0,0.0,0,False,TBL,"(80, 100]",94.822750370322,43.410262711838996,-94.822750370322,-43.410262711838996
2005,90,3,29,8471755,Dan Collins,RW,FLA,13,USA,Dan Collins,R,0,0.0,0.0,0,False,FLA,"(80, 100]",94.26350853172075,43.35602884876314,-94.26350853172075,-43.35602884876314
2005,91,3,30,8471756,Oskars Bartulis,D,PHI,4,LVA,Oskars Bartulis,D,66,1.0,8.0,9,False,PHI,"(80, 100]",93.72994500468717,43.30567563147135,-27.729945004687167,-34.30567563147135
