unit_id,cluster,umap_x,umap_y
455,1,5.871818,11.391874
456,1,2.454894,7.1047645
457,2,3.9886482,10.616438
458,2,3.8856518,9.728652
459,2,3.9971232,10.596388
460,2,4.2289867,10.470279
461,2,-1.751248,11.342035
462,2,-1.7178203,11.347502
463,2,2.824248,8.725652
464,0,6.5689893,11.550957
465,14,3.5210717,11.093361
466,11,5.8690643,11.361954
467,19,5.519678,11.269468
468,6,5.4395165,11.204517
469,11,6.599232,11.556854
470,2,3.7171578,4.1401663
471,11,0.67861134,11.315303
472,2,-0.73150575,8.643815
473,2,-0.5683967,8.685209
474,0,0.11742682,8.994747
475,2,0.57320076,7.9746294
476,2,-0.7564661,8.613107
477,2,3.7787786,4.143954
478,6,3.0595155,6.9494967
479,22,6.605046,11.558308
480,13,6.607371,11.559145
481,12,1.989506,7.571648
482,2,3.9904857,7.559847
483,1,-0.70465255,7.206433
484,2,5.573959,9.040467
485,6,3.8019042,12.714614
486,2,3.7341607,4.133006
487,5,-0.476318,8.695884
488,12,4.9718437,11.312322
489,2,0.72917,14.684887
490,2,0.69885975,14.733308
491,11,3.9079616,14.25707
